"Band_no","CAVS","COMMON","SCIENTIFIC","BANDING_LOCALITY","LOCODE","BANDING_LAT","BANDING_LON","DATE_BANDED","AGE","SEX","RECOVERY_LOCALITY","LOCODE.1","RECOVERY_LAT","RECOVERY_LON","DATE_RECOVERED","ADESC","STADES","DISTANCE","ELAPSED_MONTHS","BANDER","Box","Batch","Size","Species","Mass",,"Notes","issueYear","bandMetal","bandMetal_BACKFILLED","bandType","initMass","massAsProp","InternDiam","Height","Gauge","Volume","funGroup","typeMeanMass","typeMedianMass","sizeMetalMeanMass","sizeMetalMedianMass","type","sizeMetal","typeSDMass","sizeMetalSDMass"
10030864,202,"Australian Wood Duck","Chenonetta jubata","WYCOMBE:HIGH WYCOMBE  PERTH METRO AREA:WA","9990EB",-31.9375,116,"21-NOV-1988","FIRST YEAR","FEMALE",":HILLVIEW GOLF COURSE MAIDA VALE:WA","04848F",-31.9416666667,116.0083333333,"02-DEC-1988","FOUND DEAD, CAUSE UNKNOWN","WAS DEAD AND THE BAND WAS REMOVED.","1","0","THE WA REHABILITATION GROUP","C04",100,10,"Maned Duck",0.8698,,,"NA","NA","AM","10AM",0.87615,0.9927523826,9.5,10,1,95,"Ducks, Geese, and Swans",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
10031106,977,"Cattle Egret","Ardea ibis","SWAMP:MURWILLUMBAH SWAMP, 1KM E OF POST OFFICE:NSW","066101",-28.35,153.4166666667,"30-JAN-1981","NESTLING","UNKNOWN",":ON PROPERTY WESTLAKES RD PORTLAND:VIC","06889F",-38.35,141.6,"28-JUL-1991","FOUND DEAD, CAUSE UNKNOWN","WAS DEAD AND THE BAND WAS REMOVED.","1559","125","MR DHG DAVIDSON","NR",100,10,"Cattle Egret",0.8221,,,"NA","NA","AM","10AM",0.87615,0.9383096502,9.5,10,1,95,"Waders, Herons, and Ibises",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
10031794,977,"Cattle Egret","Ardea ibis","LAWRENCE:LAWRENCE:NSW","111505",-29.5,153.1166666667,"30-DEC-1984","NESTLING","UNKNOWN",":BUCCA RD BETWEEN PACIFIC HWY & NANA GLEN:NSW","06195F",-30.1444444444,153.0666666667,"28-NOV-1990","FOUND DEAD, CAUSE UNKNOWN","WAS DEAD AND THE BAND WAS REMOVED.","71","70","MR SP WALLACE","NR",100,10,"Cattle Egret",0.824,,,"NA","NA","AM","10AM",0.87615,0.9404782286,9.5,10,1,95,"Waders, Herons, and Ibises",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
10034175,930,"Australian Raven","Corvus coronoides",":5K E OF KALGOORLIE:WA","0965X1",-30.7333333333,121.5166666667,"07-JUL-1983","FIRST YR OR OLDER","UNKNOWN",":PADDOCK NEAR GREENHILL ROAD BOULDER:WA","01200F",-30.7833333333,121.4833333333,"06-NOV-1986","FOUND DEAD, CAUSE UNKNOWN","WAS DEAD AND THE BAND WAS REMOVED.","6","39","MR P CONGREVE SNR","NR",100,10,"Australian Raven",0.7592,,,"NA","NA","AM","10AM",0.87615,0.8665182902,9.5,10,1,95,"Passerines",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
10034878,977,"Cattle Egret","Ardea ibis","SHORTLAND1:WETLAND CENTRE SANDGATE ROAD SHORTLAND:NSW","116201",-32.875,151.6933333333,"27-DEC-1987","FIRST YEAR","UNKNOWN",":HANNAM VALE ROAD JOHNS RIVER:NSW","06901F",-31.7333333333,152.7,"28-JUL-1991","FOUND DEAD, CAUSE UNKNOWN","WAS DEAD AND THE BAND WAS REMOVED.","158","43","DR MN MADDOCK","NR",100,10,"Cattle Egret",0.8424,,,"NA","NA","AM","10AM",0.87615,0.9614791988,9.5,10,1,95,"Waders, Herons, and Ibises",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
10036396,697,"Grey Currawong","Strepera versicolor","FERNTREE:FERNTREE SUMMERLEAS ROAD:TAS","061606",-42.9333333333,147.2666666667,"26-AUG-1984","SECOND YEAR OR OLDER","UNKNOWN","STREPERA:89 SUMMERLEAS ROAD FERN TREE:TAS","107589",-42.9263888889,147.2680555556,"05-APR-1986","BAND NUMBER READ IN FIELD (BIRD NOT TRAPPED)","WAS ALIVE IN THE WILD WITH THE BAND.","1","19","MR JGK HARRIS","NR",100,10,"Grey Currawong",0.8107,,,"NA","NA","AM","10AM",0.87615,0.9252981795,9.5,10,1,95,"Passerines",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
10036398,697,"Grey Currawong","Strepera versicolor","FERNTREE:FERNTREE SUMMERLEAS ROAD:TAS","061606",-42.9333333333,147.2666666667,"08-JUN-1985","SECOND YEAR","UNKNOWN","STREPERA:89 SUMMERLEAS ROAD FERN TREE:TAS","107589",-42.9263888889,147.2680555556,"24-MAY-1986","BAND NUMBER READ IN FIELD (BIRD NOT TRAPPED)","WAS ALIVE IN THE WILD WITH THE BAND.","1","11","MR JGK HARRIS","NR",100,10,"Grey Currawong",0.8362,,,"NA","NA","AM","10AM",0.87615,0.9544027849,9.5,10,1,95,"Passerines",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
10038091,691,"Little Crow","Corvus bennetti","BERRI:BERRI EVAPORATION BASIN:SA","023903",-34.3,140.5666666667,"15-MAR-1990","FIRST YEAR","UNKNOWN",":VINEYARD OUTSKIRTS OF BERRI:SA","06400F",-34.3,140.575,"09-FEB-1991","TAKEN TO PROTECT CROPS","WAS DEAD AND THE BAND WAS REMOVED.","0","10","MR KJ MACK","NR",100,10,"Little Crow",0.8264,,,"NA","NA","AM","10AM",0.87615,0.9432174856,9.5,10,1,95,"Passerines",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
10038460,977,"Cattle Egret","Ardea ibis","LAWRENCE:LAWRENCE:NSW","008417",-29.5,153.1,"24-DEC-1984","NESTLING","UNKNOWN",":BEACH AT CROOKHAVEN HEADS:NSW","01738F",-34.8833333333,150.7666666667,"14-JUL-1987","FOUND BEACHWASHED OR FLOATING IN SEA OR FRESHWATER","WAS DEAD AND THE BAND WAS REMOVED.","636","30","MR SG LANE (DECEASED)","NR",100,10,"Cattle Egret",0.8547,,,"NA","NA","AM","10AM",0.87615,0.9755178908,9.5,10,1,95,"Waders, Herons, and Ibises",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
10039551,977,"Cattle Egret","Ardea ibis","BALD HILLS:BALD HILLS 15KM NORTH OF BRISBANE  GPO:QLD","089903",-27.3333333333,153.0333333333,"16-JAN-1985","NESTLING","UNKNOWN","BALD HILLS:BALD HILLS 15KM NORTH OF BRISBANE  GPO:QLD","089903",-27.3333333333,153.0333333333,"17-JAN-1985","FOUND DEAD, CAUSE UNKNOWN","WAS DEAD AND THE BAND WAS REMOVED.","0","0","MR DS REIMER","NR",100,10,"Cattle Egret",0.856,,,"NA","NA","AM","10AM",0.87615,0.977001655,9.5,10,1,95,"Waders, Herons, and Ibises",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
10040019,697,"Grey Currawong","Strepera versicolor","FERNTREE:FERNTREE SUMMERLEAS ROAD:TAS","061606",-42.9333333333,147.2666666667,"08-JUN-1985","FIRST YEAR","UNKNOWN","STREPERA:89 SUMMERLEAS ROAD FERN TREE:TAS","107589",-42.9263888889,147.2680555556,"24-MAY-1986","BAND NUMBER READ IN FIELD (BIRD NOT TRAPPED)","WAS ALIVE IN THE WILD WITH THE BAND.","1","11","MR JGK HARRIS","NR",100,10,"Grey Currawong",0.8737,,,"NA","NA","AM","10AM",0.87615,0.9972036752,9.5,10,1,95,"Passerines",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
10040019,697,"Grey Currawong","Strepera versicolor","FERNTREE:FERNTREE SUMMERLEAS ROAD:TAS","061606",-42.9333333333,147.2666666667,"08-JUN-1985","FIRST YEAR","UNKNOWN","STREPERA:89 SUMMERLEAS ROAD FERN TREE:TAS","107589",-42.9263888889,147.2680555556,"30-APR-1986","BAND NUMBER READ IN FIELD (BIRD NOT TRAPPED)","WAS ALIVE IN THE WILD WITH THE BAND.","1","10","MR JGK HARRIS","NR",100,10,"Grey Currawong",0.8737,,,"NA","NA","AM","10AM",0.87615,0.9972036752,9.5,10,1,95,"Passerines",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
10040284,221,"Brown Goshawk","Accipiter fasciatus","HOUSE:BALMORAL  20 KM NORTH EAST OF MUDGEE:NSW","0451B1",-32.45,149.7,"23-JUN-1989","FIRST YEAR","FEMALE",":BOTOBOLAR PROPERTY VIA MUDGEE:NSW","05285F",-32.5,149.7166666667,"00-JUL-1989","TAKEN TO PROTECT DOMESTIC ANIMALS","WAS DEAD AND THE BAND WAS REMOVED.","6","Time elapsed cannot be calculated","MR NW KURTZ","C05",100,10,"Brown Goshawk",0.868,,,"NA","NA","AM","10AM",0.87615,0.9906979399,9.5,10,1,95,"Birds of Prey",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
10043177,202,"Australian Wood Duck","Chenonetta jubata","WEBBDAM:LAXTON ROAD PALLARA:QLD","1372B2",-27.6333333333,153.0166666667,"04-AUG-1987","FIRST YR OR OLDER","FEMALE",":86 DEVRIES ROAD PALLARA:QLD","04076F",-27.6166666667,153.0166666667,"11-MAR-1988","TAKEN BY DOMESTIC OR WILD CAT","REHABILITATION WAS ATTEMPTED BUT BIRD/BAT DIED, BAND WAS REMOVED.","2","7","MR RV CORBETT","C04",100,10,"Maned Duck",0.849,,,"NA","NA","AM","10AM",0.87615,0.9690121555,9.5,10,1,95,"Ducks, Geese, and Swans",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
10043185,202,"Australian Wood Duck","Chenonetta jubata","WEBBDAM:LAXTON ROAD PALLARA:QLD","1372B2",-27.6333333333,153.0166666667,"11-SEP-1987","FIRST YR OR OLDER","MALE",":CALAMVALE SOUTH SIDE OF BRISBANE:QLD","05402F",-27.6166666667,153.0333333333,"00-   -1989","FOUND ON HIGHWAY/ROAD; BUT NOT CERTAINLY HIT BY CAR","WAS DEAD AND THE BAND WAS REMOVED.","2","Time elapsed cannot be calculated","MR RV CORBETT","C04",100,10,"Maned Duck",0.8242,,,"NA","NA","AM","10AM",0.87615,0.9407065,9.5,10,1,95,"Ducks, Geese, and Swans",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
10044403,977,"Cattle Egret","Ardea ibis","SWAMP:1KM SOUTH EAST MURWILLUMBAH POST OFFICE:NSW","049706",-28.35,153.4166666667,"04-FEB-1982","NESTLING","UNKNOWN",":CLOTHIERS CREEK:NSW","01613F",-28.3333333333,153.5,"01-JUN-1987","FOUND DEAD, CAUSE UNKNOWN","WAS DEAD AND THE STATUS OF THE BAND IS UNKNOWN.","8","63","MR JT WILLOWS (DECEASED)","NR",100,10,"Cattle Egret",0.8595,,,"NA","NA","AM","10AM",0.87615,0.9809964047,9.5,10,1,95,"Waders, Herons, and Ibises",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
10046106,186,"Intermediate Egret","Ardea intermedia","BOOBY:BOOBY ISLAND LIGHTSTATION:QLD","138801",-10.6,141.9166666667,"28-MAR-1988","FIRST YR OR OLDER","UNKNOWN",":5KM NTH BOBOA STATION LAKE MURRAY PNG:","05450F",-7,141.5,"02-NOV-1989","SHOT FOR SPORT/FOOD","WAS DEAD AND THE BAND WAS REMOVED.","401","19","MR RWH HINDMARSH","C04",100,10,"Intermediate Egret",0.8578,,,"NA","NA","AM","10AM",0.87615,0.9790560977,9.5,10,1,95,"Waders, Herons, and Ibises",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
10047969,313,"Tawny Frogmouth","Podargus strigoides","D'WATER PK:DEEPWATER PARK EAST HILLS:NSW","0664DP",-33.95,150.9666666667,"31-OCT-1977","NESTLING","UNKNOWN","MINTO:MINTO GRID BLOCK:NSW","9993MI",-34.0208333333,150.8541666667,"23-AUG-1991","TAKEN BY DOMESTIC OR WILD DOG","REHABILITATION WAS ATTEMPTED BUT BIRD/BAT DIED, BAND WAS REMOVED.","13","165","MR DI SMEDLEY","C05",100,10,"Tawny Frogmouth",0.8397,,,"NA","NA","AM","10AM",0.87615,0.9583975347,9.5,10,1,95,"Other Nonpasserines",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
10051158,202,"Australian Wood Duck","Chenonetta jubata","HAZELBROOK:HAZELBROOK GRID BLOCK:NSW","9993HK",-33.7291666667,150.4375,"27-OCT-1991","FIRST YEAR","UNKNOWN","HAZELBROOK:HAZELBROOK GRID BLOCK:NSW","9993HK",-33.7291666667,150.4375,"06-JAN-1994","INJURED BY BAND OR OTHER MARKER","WAS REHABILITATED & RELEASED ALIVE, BAND WAS REMOVED.","0","26","THE WILD BIRD REHABILITATION GROUP","C04",100,10,"Maned Duck",0.776,,,"NA","NA","AM","10AM",0.87615,0.8856930891,9.5,10,1,95,"Ducks, Geese, and Swans",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
10052573,977,"Cattle Egret","Ardea ibis","LAWRENCE:LAWRENCE:NSW","109604",-29.5,153.1,"14-DEC-1987","NESTLING","UNKNOWN","MUTTONBIRD:COFFS HARBOUR:NSW","141827",-30.3,153.15,"29-OCT-1993","FOUND DEAD, CAUSE UNKNOWN","WAS DEAD AND THE BAND WAS REMOVED.","89","70","MR DJ GEERING","NR",100,10,"Cattle Egret",0.8169,,,"NA","NA","AM","10AM",0.87615,0.9323745934,9.5,10,1,95,"Waders, Herons, and Ibises",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
10056686,977,"Cattle Egret","Ardea ibis","DOBOY:DOBOY 8KM EAST OF BRISBANE GPO:QLD","082001",-27.45,153.0833333333,"10-DEC-1980","NESTLING","UNKNOWN",":REDBANK IPSWICH:QLD","05692F",-27.6,152.8666666667,"16-JAN-1990","FOUND DEAD, CAUSE UNKNOWN","WAS DEAD AND THE BAND WAS REMOVED.","27","109","MR DHC SETON","NR",100,10,"Cattle Egret",0.7908,,,"NA","NA","AM","10AM",0.87615,0.9025851738,9.5,10,1,95,"Waders, Herons, and Ibises",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
10057249,977,"Cattle Egret","Ardea ibis","DUBRY:DUBRY 8 KM EAST OF BRISBANE:QLD","0820DB",-27.45,153.0833333333,"16-DEC-1981","NESTLING","UNKNOWN",":IN PADDOCK HEMMANT:QLD","08311F",-27.45,153.1333333333,"13-JUN-1993","FOUND DEAD, CAUSE UNKNOWN","WAS DEAD AND THE BAND WAS REMOVED.","5","137","MR DHC SETON","NR",100,10,"Cattle Egret",0.7964,,,"NA","NA","AM","10AM",0.87615,0.9089767734,9.5,10,1,95,"Waders, Herons, and Ibises",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
10058194,977,"Cattle Egret","Ardea ibis","MELALEUCA:MELALEUCA WOODLANDS 6K NORTH EAST GATTON:QLD","091101",-27.5166666667,152.3333333333,"30-DEC-1981","NESTLING","UNKNOWN",":BTWN MT FLINDERS RD & ALLENS RD ROCKDALE:QLD","06024F",-27.7666666667,152.7333333333,"01-SEP-1990","FOUND DEAD, CAUSE UNKNOWN","WAS DEAD AND THE STATUS OF THE BAND IS UNKNOWN.","48","104","DR NG MCKILLIGAN","NR",100,10,"Cattle Egret",0.7634,,,"NA","NA","AM","10AM",0.87615,0.87131199,9.5,10,1,95,"Waders, Herons, and Ibises",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
10058880,977,"Cattle Egret","Ardea ibis","ULULAH LAG:ULULAH LAGOON, MARYBOROUGH:QLD","089904",-25.5333333333,152.7,"16-DEC-1982","NESTLING","UNKNOWN",":PROSPECT LAUNCESTON:TAS","01638F",-41.4666666667,147.1333333333,"19-JUN-1987","EXHAUSTED","WAS MERCY KILLED AND THE BAND WAS REMOVED.","1840","54","MR DS REIMER","NR",100,10,"Cattle Egret",0.8164,,,"NA","NA","AM","10AM",0.87615,0.9318039149,9.5,10,1,95,"Waders, Herons, and Ibises",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
10059137,977,"Cattle Egret","Ardea ibis","DOBOY:DOBOY, 8 KM EAST OF BRISBANE GPO:QLD","089901",-27.45,153.0833333333,"10-DEC-1982","NESTLING","UNKNOWN",":SPRINGWOOD:QLD","01925F",-27.6166666667,153.1333333333,"16-NOV-1987","COLLIDED WITH A MOVING ROAD VEHICLE","REHABILITATION WAS ATTEMPTED BUT BIRD/BAT DIED, BAND WAS REMOVED.","19","59","MR DS REIMER","NR",100,10,"Cattle Egret",0.7971,,,"NA","NA","AM","10AM",0.87615,0.9097757233,9.5,10,1,95,"Waders, Herons, and Ibises",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
10059971,202,"Australian Wood Duck","Chenonetta jubata","NOCOLECHE:20 KM SOUTH OF WANAARING:NSW","103406",-29.75,144.25,"17-APR-1985","FIRST YR OR OLDER","MALE","L MOKOAN:LAKE MOKOAN NEAR BENALLA:VIC","00393F",-36.45,146.05,"22-FEB-1986","SHOT FOR SPORT/FOOD","WAS DEAD AND THE BAND WAS REMOVED.","755","10","MS SV BRIGGS","C04",100,10,"Maned Duck",0.8185,,,"NA","NA","AM","10AM",0.87615,0.9342007647,9.5,10,1,95,"Ducks, Geese, and Swans",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
10059973,202,"Australian Wood Duck","Chenonetta jubata","NOCOLECHE:20 KM SOUTH OF WANAARING:NSW","103406",-29.75,144.25,"18-APR-1985","FIRST YR OR OLDER","FEMALE",":MOORABIE STATION VIA BROKEN HILL:NSW","01608F",-30.2,141.0333333333,"28-MAY-1987","SHOT FOR SPORT/FOOD","WAS DEAD AND THE BAND WAS REMOVED.","314","25","MS SV BRIGGS","C04",100,10,"Maned Duck",0.8101,,,"NA","NA","AM","10AM",0.87615,0.9246133653,9.5,10,1,95,"Ducks, Geese, and Swans",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
10060355,202,"Australian Wood Duck","Chenonetta jubata","FERNHILL:BELCONNEN:ACT","103411",-35.2166666667,149.1041666667,"16-APR-1986","FIRST YR OR OLDER","MALE",":HAYDON DRIVE FERNHILL BELCONNEN:ACT","05568F",-35.2166666667,149.1041666667,"29-JAN-1990","COLLIDED WITH A MOVING ROAD VEHICLE","WAS DEAD AND THE BAND WAS REMOVED.","0","45","MS SV BRIGGS","C04",100,10,"Maned Duck",0.7345,,,"NA","NA","AM","10AM",0.87615,0.8383267705,9.5,10,1,95,"Ducks, Geese, and Swans",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
10060571,977,"Cattle Egret","Ardea ibis","SWAMP:MURWILLUMBAH SWAMP, 1KM E OF POST OFFICE:NSW","066101",-28.35,153.4166666667,"05-JAN-1984","NESTLING","UNKNOWN",":BACK MA MA CREEK GRANTHAM:QLD","06610F",-27.5833333333,152.2,"25-APR-1991","FOUND DEAD, CAUSE UNKNOWN","WAS DEAD AND THE BAND WAS REMOVED.","147","87","MR DHG DAVIDSON","NR",100,10,"Cattle Egret",0.8058,,,"NA","NA","AM","10AM",0.87615,0.9197055299,9.5,10,1,95,"Waders, Herons, and Ibises",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
